id,title,year,language,all_authors,citation_count,has_hypothesis,hypothesis_or_objectives,objective_code,research_area,research_focus,sampling_method,study_design,habitat_code,region_code,affiliations,ocean,sea,is_just_theoric,locality_country,family,genus,cited_species
559,"Ceriantharia, Zoanthidea, Corallimorpharia, and Actiniaria from the Continental Shelf and Slope off the Eastern Coast of the United States",1976,English,Widersten B.,17,NO,NA,5,Biodiversity,Overview,0,2,1;2,2;4,Sweden,North Atlantic,NA,NO,USA,Cerianthidae,Cerianthus; Ceriantheopsis,Cerianthus borealis; Ceriantheopsis americana
506,Use of electrical stimulation for discharging cnidom components of a species of Cerianthus (Anthozoa: Cnidaria),1982,English,Rifkin J.F. ,3,YES,"Direct-current electrical stimulation was used as a means of discharging cnidom components from the marginal tentacles of a species of Cerianthus from Southern Queensland, Australia, in order to facilitate the study of cnidom components by light microscopy. ",1,Cell Biology,Cnida,0,2,2,1,Australia,South Pacific,Coral Sea,NO,Australia,Cerianthidae,Cerianthus,NA
503,"Arachnanthus sarsi Carlgren, 1912: a redescription of a cerianthid anemone new to the British Isles",1985,English,Picton B.E.; Manuel R.L.,9,YES,"Arachnanthus sarsi was described by Carlgren (1912: 27) from a single damaged specimen lacking the uppermost part of the body. Some of the actinopharynx and all of the tentacles were missing, and the remains were 4.7 cm long in life. This type specimen was dredged in Trondheim Fjord, Norway, at a depth of 140 m, on 18 June 1901. Due to the necessarily incomplete nature of Carlgren's description a full description is given below.",6,Taxonomy,Morphology,0,2,0,1;4,UK,North Atlantic,NA,NO,Scotland,Arachnactidae,Arachnanthus,Arachnanthus sarsi
567,"Electrical-activity associated with withdrawal and feeding of pachycerianthus-fimbriatus (anthozoa, ceriantharia)",1985,English,Arai M.N.,1,YES,The present paper reports electrical recordings from the column and tentacle conducting systems,1,Cell Biology,Physiology,1;2,2,0,1,Canada,North Pacific,NA,NO,USA,Cerianthidae,Pachycerianthus,Pachycerianthus fimbriatus
521,"Ecology of Ceriantharia ( Coelenterata, Anthozoa) of the northwest Atlantic from Cape Hatteras to Nova Scotia",1986,English,Shepard A.N.; Theroux R.B.; Cooper R.A.; Uzmann J.R.,28,YES,"The objectives of this study are to describe 1) the Ceriantharia species encountered, 2) their general distribution in relation to latitude, deph, temperature and sediments, 3) their local distribution patterns, and 4) how they interact with other benthic species",2,Ecology,Abiotic Factors,3;4,1,1;2;3;4,2,USA,North Atlantic,NA,NO,USA;Canada,Cerianthidae,Ceriantheopsis; Cerianthus,Ceriantheopsis americana; Cerianthus borealis
502,Variability in the startle response of Pachycerianthus multiplicatus (Anthozoa: Ceriantharia),1988,English,McFarlane I.D.,1,YES,This paper investigates the through-conducting system in P. multiplicatus and shows that the startle response is not stereotyped but can vary in intensity according to previous experience,1,Physiology,Physiology,5,2,1,1,UK,North Atlantic,North Sea,NO,Sweden,Cerianthidae,Pachycerianthus,Pachycerianthus multiplicatus
446,A photographic survey of the megafauna of the central and eastern Gulf of Maine,1989,English,Langton R.W.; Uzmann J.R.,18,YES,The current study was initiated as a submersible survey of offshore lobster habitat in the Gulf of Maine.,4,Biodiversity,Biological Inventory,3;4,1,2,2,USA,North Atlantic,NA,NO,Gulf of Maine,Cerianthidae,Cerianthus,NA
478,"Fishes that eat sea anemones, a review",1989,English,Ates R.M.L.,13,YES,"A preliminary review is presented of fishes recorded to have consumed actiniarian and ceriantharian sea anemones (Cnidaria, Anthozoa, Actiniaria and Ceriantharia",2,Ecology,Ecological Interactions,0,3,0,3,USA,North Atlantic,Mediterranean Sea; North Sea,YES,NA,Cerianthidae,Cerianthus,NA
565,Histopathology of Ceriantheopsis americanus (Cnidaria: Ceriantharia) exposed to Black Rock Harbor dredge spoils in Long Island Sound,1989,English,Peters E.C.; Yevich P.P.,6,YES,We report here on histopathological examination s of cerianthid tissues,5,Anatomy,Morphology,5,1,1,1,USA,North Atlantic,NA,NO,USA,Cerianthidae,Ceriantheopsis; Pachycerianthus,Ceriantheopsis americana
483,Faunal associations on scallop grounds in the western Gulf of Maine,1990,English,Langton R.W.; Robinson W.E.,58,YES,In this paper two scallop beds in the western Gulf of Maine have been studied using quantitative photographic transects taken with a manned submersible. The purpose of the study was to examine factors controlling the distribution and abundance of sea scallops on these grounds and to evaluate the spatial relationships amongst the megafaunal invertebrates that cohabit the grounds,4,Ecology,Ecological Interactions,3,1,0,2,Australia,North Atlantic,NA,NO,Gulf of Maine,Cerianthidae,Cerianthus,Cerianthus borealis
455,A study of the spirocytes from the Ceriantharia and Actiniaria (Cnidaria: Anthozoa),1991,English,Rifkin J.F. ,13,YES,"In the present work spirocyst structure, ultrastructure and arrangement of the two orders Actiniaria and Ceriantharia are compared. A comparison of structural aspects of nematocysts from actiniarians and ceriantharians is also presented",5,Cell Biology,Cnida,0,2,0,1;4,UK,South Pacific,NA,NO,Queensland,Cerianthidae,Cerianthus,NA
449,"Nematocysts of sea anemones (Actiniaria, Ceriantharia and Corallimorpharia: Cnidaria): nomenclature",1991,English,England K.W.,104,YES,"In order to place these nomenclatural problems in perspective, a brief history is given here of the development of nematocyst nomenclature.",5,Taxonomy,Morphology,NA,3,0,0,Denmark,North Atlantic,NA,YES,NA,NA,NA,NA
407,"Cerianthus vogti danielssen, 1890 (anthozoa: Ceriantharia). a species inhabiting an extended tube system deeply buried in deep-sea sediments off Norway",1992,English,Jensen P.,18,YES,By means of box core sampling and photographs of the sea floor from the deep-sea benthos of the Norwegian Sea the abundance of Cerianthus vogti is estimated and an impression of the extension of its deeply buried tube system is given. A 'gas pipeline' hypothesis is finally presented where the tube system is suggested to accumulate and pass reduced compounds as supply for chemoautolithotrophic bacterial symbionts in its body tissues or as supply for a bacterial gardening system.,8,Biogeography,Behavior,3;4;5,1,1;2,1;4,USA,North Atlantic,Norwegian Sea,NO,Norway,Cerianthidae,Cerianthus,Cerianthus vogti
434,DNA sequence variation of mitochondrial large-subunit rRNA provides support for a two-subclass organization of the Anthozoa (Cnidaria),1996,English,France S.C.; Rosel P.E.; Agenbroad J.E.; Mullineaux L.S.; Kocher T.D.,131,YES,"We have sequenced a portion of the mitochondrial 16s rRNA gene from 29 species of Anthozoa, representing six orders of the subclasses Ceriantipatharia, Hexacorallia and Octocorallia, with the focus on deep-seamount corals.",7,Molecular Biology,Evolution; Phylogenetic,3,2,1,2,USA,North Atlantic,,YES,Caribbean;USA,Cerianthidae,Ceriantheopsis; Cerianthus,Ceriantheopsis americana; Cerianthus borealis
460,"Population density, prey selection, and predator avoidance of the burrowing anemone (Ceriantheopsis americanus) in Narragansett Bay, Rhode Island",1998,English,Holohan B.A.; Klos E.G.; Oviatt C.A.,8,YES,"Thus, a study of densities, prey, and predator avoidance was initiated in Narragansett Bay, Rhode Island.",2,Ecology,Behavior,1,2,1;2,1,USA,North Atlantic,,NO,USA,Cerianthidae,Ceriantheopsis,Ceriantheopsis americana
578,Phylogenetic Relationships within the Class Anthozoa (Phylum Cnidaria) Based on Nuclear 18S rDNA Sequences,1999,English,Berntson E.A.; France S.C.; Mullineaux L.S.,88,YES,"We address a number of questions regarding anthozoan phylogeny: (1) are the Ceriantharia and the Antipatharia phylogenetically allied within the Subclass Cerianthipatharia, separate from the Subclass Hexacorallia; (2) are the Corallimorpharia affiliated with the Actiniaria, the Scleractinia, or other members of the Hexacorallia; (3) are the Ptychodactiaria phylogenetically distinct from the Actiniaria; (4) is Dendrobrachia affiliated with the Antipatharia (Subclass Hexacorallia) or the Subclass Octocorallia; and (5) which morphological characters are correlated most closely with phylogenetic divisions within the Anthozoa?",7,Molecular Biology; Phylogeny,Evolution; Phylogenetic,1;3;6;7,2,0,0,South Korea,NA,NA,YES,NA,Cerianthidae,Ceriantheopsis; Cerianthus,Cerianthus borealis; Ceriantheopsis americana
442,A phylogenetic study of the Anthozoa (phylum Cnidaria) based on morphological and molecular characters,2001,English,Won J.H.; Rho B.J.; Song J.I.,59,YES,"In this study, we present analyses of phylogenetic relationships between taxa of Anthozoa based on 18S ribosomal DNA ,rDNA) sequence and morphological characters",7,Molecular Biology; Phylogeny,Evolution; Phylogenetic,7,2,0,0,Portugal;Spain;Russia,NA,NA,YES,NA,Cerianthidae,Cerianthus,Cerianthus filiformis
477,Actiniaria and Ceriantharia of the Azores (Cnidaria Anthozoa),2003,English,Wirtz P.; Ocana O.; Molodtsova T.,19,YES,"We here present a fauna list for the Actiniaria and Ceriantharia of the Azores, with some zoogeographical remarks",4,Biodiversity,Overview,1;2,1,1,1,USA,North Atlantic,NA,YES,Portugal,Arachnactidae; Cerianthidae,Arachnanthus; Pachycerianthus,Arachnanthus nocturnus; Pachycerianthus solitarius
412,Systematics of the Hexacorallia (Cnidaria: Anthozoa),2003,English,Daly M.; Fautin D.G.; Cappola V.A.,111,YES,"We conduct simultaneous analyses using data from anatomy, biology, ultrastructure of sperm, cnidae, life history, and molecular sequences to provide a comprehensive assessment of phylogenetic relationships among hexacorallians.",6,Integrative Taxonomy,Evolution; Phylogenetic,7,2,0,0,USA,NA,NA,YES,NA,Cerianthidae,Cerianheomorphe; Ceriantheopsis,NA
439,"Variation in habitat use by juvenile Acadian redfish, Sebastes fasciatus",2003,English,Auster P.J.; Lindholm J.; Valentine P.C.,44,YES,"In thi study, we reports patterns of shelter use by Acadian redfish in boulder reef and cerianthid anemone habitats based on life history stage and develop hypotheses to explain patterns in habitat use",2,Ecology,Ecological Interactions,4,1,1;2,1,Hong Kong;UK,North Atlantic,NA,NO,Gulf of Maine,Cerianthidae,Cerianthus,Cerianthus borealis
468,Crystallization and preliminary crystallographic analysis of a novel orange fluorescent protein from the Cnidaria tube anemone Cerianthus sp.,2004,English,Ip D.T.M.; Chan S.H.; Allen M.D.; Bycroft M.; Wan D.C.C.; Wong K.B.,8,YES,"In this paper, we report the expression, purification, crystallization and preliminary X-ray diffraction analysis of a novel orange fuorescent protein (OFP) from the Cnidaria tube anemone Cerianthus sp.",7,Biochemistry,Protein characterization,7,2,0,0,Germany;USA,NA,NA,YES,NA,Cerianthidae,Cerianthus,NA
495,"Identification of GFP-like proteins in nonbioluminescent, azooxanthellate anthozoa opens new perspectives for bioprospecting",2004,English,Wiedenmann J.; Ivanchenko S.; Oswald F.; Nienhaus G.U.,63,YES,"We screened nonbioluminescent, azooxanthellate cnidaria as potential sources for advanced marker proteins and succeeded in cloning a tetrameric green fluorescent protein (GFP) from the tentacles of Cerianthus membranaceus.",7,Biochemistry,Protein characterization,0,2,0,0,Russia,NA,NA,YES,NA,Cerianthidae,Cerianthus,Cerianthus membranaceus
556,"On the taxonomy and presumable evolutionary pathways of plank-tonic larvae of Ceriantharia (Anthozoa, Cnidaria)",2004,English,Molodtsova T.N.,15,YES,The main purpose of this work was to study ceriantharian larvae to establish how the features proposed by den Hartog (1977) are distributed between planktonic forms of the three families of Ceriantharia.,6,Taxonomy,Life Cycle; Morphology,6,1,0,0,Hong Kong,NA,NA,YES,NA,NA,"Bursanthus, Nautanthus, Sacculactis, Apiactis, Solasteractis, Peponactis, Synarachnactis, Syndactylactis, Isodactylactis, Calpanthula, Angianthula, Cerianthula, Hensenanthula, Sphaeranthula, Arachnactis, Dactylactis, Ovactis, Isarachnactis, Isapiactis",NA
303,Characterization of novel orange fluorescent protein cloned from Cnidarian tube anemone Cerianthus sp.,2007,English,Ip D.T.M.; Wong K.B.; Wan D.C.C.,19,YES,Here we report the cloning and characterization of a novel GFP-like protein isolated from the tentacles of the cnidarian tube anemone Cerianthus sp.,7,Biochemistry,Protein characterization,0,2,0,0,USA;Russia,NA,NA,YES,NA,Cerianthidae,Cerianthus,NA
545,Shallow-water sea anemones (Cnidaria: Anthozoa: Actiniaria) and tube anemones (Cnidaria: Anthozoa: Ceriantharia) of the Galapagos Islands,2007,English,Fautin D.G.; Hickman C.P.; Daly M.; Molodtsova T.,32,YES,We document eight species of sea anemones (order Actiniaria) and two of tube anemones (order Ceriantharia) at 48 localities in the Galápagos Archipelago (Figure 1; see Table 1) from the intertidal zone to 35 m,4,Biodiversity,Biological Inventory,1,1,1;2;5;7,1;4,Germany;USA;UK,South Pacific,NA,NO,Galapagos Island,Arachnactidae; Botrucnidiferidae,Arachnanthus; Botruanthus,Botruanthus benedeni
343,A Green Fluorescent Protein with Photoswitchable Emission from the Deep Sea,2008,English,"Vogt A.; D'Angelo C.; Oswald F.; Denzel A.; Mazel C.H.; Matz M.V.; Ivanchenko S.; Nienhaus G.U.; Wiedenmann, J.",30,YES,The possibility of light-independent expression of FPs encouraged us to search the dark depths of the ocean as a potential new source of GFP-like proteins,7,Biochemistry,Protein characterization,3,2,2,1,Russia,North Atlantic,NA,NO,Gulf of Mexico,Botrucnidiferidae; Cerianthidae,NA,NA
327,Ceriantharia (Cnidaria) of the Gulf of Mexico,2009,English,Molodtsova T.N.,5,NO,NA,4,Biodiversity,Overview,0,3,0,1,Brazil,North Atlantic,NA,NO,Gulf of Mexico,Cerianthidae,Ceriantheomorphe; Ceriantheopsis,Ceriantheomorphe brasiliensis; Ceriantheopsis americana
385,Is there any risk in a symbiotic species associating with an endangered one? A case of a phoronid worm growing on a Ceriantheomorphe tube,2010,English,Stampar S.N.; Emig C.C.; Morandini A.C.; Kodja G.; Balboni A.P.; Da Silveira F.L.,16,YES,This study reports for the very first time the occurrence of the species Phoronis australis in southwestern Atlantic waters and the association of phoronids with the genus Ceriantheomorphe,2,Ecology,Ecological Interactions,1,2,1,1;4,Russia;South Africa;Argentina,South Atlantic,NA,NO,Brazil,Cerianthidae,Ceriantheomorphe,Ceriantheomorphe brasiliensis
322,"A new species of shallow-water cerianthid (Cnidaria: Anthozoa) from South Africa, with remarks on the genus Ceriantheopsis",2011,English,Molodtsova T.N.; Griffiths C.L.; Acuña F.H.,9,YES,"The present work thus represents the first official report of a benthic adult cerianthid from South Africa, although unnamed species have previously been depicted in popular regional field guides (Jones 2008; Branch et al. 2010).",4,Taxonomy,Biodiversity; Morphology,1;4,2,0,1,Argentina;Brazil,South Atlantic,NA,NO,South Africa,Cerianthidae,Ceriantheopsis,Ceriantheopsis austroafricanus
370,The taxonomic position of the pelagic 'staurozoan' Tessera gemmaria as a ceriantharian larva,2011,English,Rodriguez C.S.; Marques A.C.; Stampar S.N.; Morandini A.C.; Christiansen E.; Genzano G.N.; Mianzan H.W.,11,YES,"The goal of this study is to reinterpret the taxonomic position of this doubtful taxon based on evidence of external morphology, anatomy, and molecular data.",6,Integrative Taxonomy,Evolution; Phylogenetic,3,2,0,2;4,Brazil;Netherlands,South Atlantic,NA,NO,Argentina;Brazil,"Arachnactidae, Cerianthidae","Arachnactidae, Cerianthidae",Isarachnanthus sp.; Ceriantheomorphe brasiliensis; Ceriantheopsis americana; Cerianthus borealis
348,Evolutionary diversification of banded tube-dwelling anemones (Cnidaria; Ceriantharia; Isarachnanthus) in the Atlantic ocean,2012,English,Stampar S.N.; Maronna M.M.; Vermeij M.J.A.; Silveira F.L.D.; Morandini A.C.,40,YES,"Here, we aimed to verify whether genetic relationships (using COI, 16S, ITS1 and ITS2 molecular markers) confirmed morphological affinities among members of Isarachnanthus from different regions across the Atlantic Ocean",7,Molecular Biology; Phylogeny,Phylogenetic; Phylogeography,1,2,0,3;4,Spain,North Atlantic;South Atlantic;South Pacific,Caribbean Sea,NO,Brazil;Curacao;French Polynesia;Portugal,Arachnactidae; Cerianthidae,Ceriantheomorphe; Isarachnanthus,Cerianhteomorphe brasiliensis; Isarachnanthus bandanensis; Isarachnanthus maderensis; Isarachnanthus nocturnus
575,"Habitats of the Cap De Creus Continental Shelf and Cap De Creus Canyon, Northwestern Mediterranean",2012,English,Lo Iacono C.; Orejas C.; Gori A.; Gili J.M.; Requena S.; Puig P.; Ribó M.,23,YES,"In this study, we present a characterization of the main morphological and deposi­ tional features and related habitats of the Cap de Creus continental shelf and canyon head, in the northwestern Mediterranean (42.21°?42.44°N, 3.12°?3.50°E), integrat­ ing swath bathymetry, video images, and sediment samples. No statistical analy­ ses have been carried out to analyze relationships between abiotic surrogates and benthos",4,Biodiversity,Overview,4,1,1;2;6,1,Brazil,North Atlantic,Mediterranean Sea,NO,Spain,Cerianthidae,Cerianthus,Cerianthus membraneceus
313,"New record of the endangered cerianthid Ceriantheomorphe brasiliensis (Cnidaria: Hexacorallia) in Paranaguá Bay, southern Brazil",2012,English,Spier D.; Stampar S.N.; Prantoni A.L.,9,YES,This paper describes a newly discovered population of Ceriantheomorphe brasiliensis in the large subtropical Paranagua ´ Bay (southern Brazil),6,Biodiversity,Biological Inventory,1,2,1;2;6;7,1;4,South Korea;UK,South Atlantic,NA,NO,Brazil,Cerianthidae,Ceriantheomorphe,Ceriantheomorphe brasiliensis
363,Sabelliphilidae (Copepoda: Cyclopoida) associated with the tube anemone Pachycerianthus maua (Carlgren) and the horseshoe worm Phoronis australis Haswell off New Caledonia,2012,English,Kim I.H.; Huys R.,6,NO,NA,2,Ecology,Ecological Interactions,0,2,0,1,USA,South Pacific,Coral Sea,NO,New Caledonia,Cerianthidae,Pachycerianthus,Pachycerianthus maua
399,"Pitfalls, traps, and webs in ichnology: Traces and trace fossils of an understudied behavioral strategy",2013,English,Lehane J.R.; Ekdale A.A.,16,YES,"The purpose of this paper is to illustrate all of the cited examples of trapping in the animal kingdom, both modern and ancient, assess their identification in the modern and ichnological record, and analyze some known trace fossils that could represent trapping behavior.",4,Biodiversity,Biological Inventory,0,3,0,0,Brazil,North Atlantic,NA,NO,Mexico,NA,NA,NA
270,"A new Fenestrulina (Bryozoa, Cheilostomata) commensal with tube-dwelling anemones (Cnidaria, Ceriantharia) in the tropical southwestern Atlantic",2014,English,Vieira L.M.; Stampar S.N.,0,YES,"Here we describe a new bryozoan species from Espírito Santo, Brazil, and we also report for the first time commensalism between a bryozoan and the tube-dwelling anemone Pachycerianthus sp.",2,Ecology,Ecological Interactions,1,1,0,1;4,Brazil,South Atlantic,NA,NO,Brazil,Cerianthidae,Pachycerianthus,NA
203,"A new species of Pachycerianthus (Cnidaria, Anthozoa, Ceriantharia) from tropical southwestern Atlantic",2014,English,Stampar S.N.; Morandini A.C.; Da Silveira F.L.,14,YES,Here we address the lack of information about members of Pachycerianthus by describing a new species from the tropical Southwestern Atlantic Ocean and comparing it with other species of the genus from the Atlantic Ocean.,6,Integrative Taxonomy,Biogeography,1,2,0,1,Brazil;Japan,South Atlantic,NA,NO,Brazil,Cerianthidae,Pachycerianthus,Pachycerianthus schlenzae
254,Fast-evolving mitochondrial DNA in Ceriantharia: A reflection of hexacorallia paraphyly?,2014,English,Stampar S.N.; Maronna M.M.; Kitahara M.V.; Reimer J.D.; Morandini A.C.,42,YES,"In this study, the divergence of mitochondrial DNA of Ceriantharia was compared to members of other Anthozoa and Medusozoa groups. In addition, nuclear markers were used to check the relative phylogenetic position of Ceriantharia in relation to other Cnidaria members",7,Molecular Biology,Evolution; Phylogenetic,4,2,0,3,Brazil,NA,NA,NYES,NA,Arachnactidae; Cerianthidae,Ceriantheomorphe; Cerianthus; Ceriantheopsis; Isarachnanthus; Pachycerianthus,Ceriantheomorphe brasiliensis; Cerianthus lloydii; Ceriantheopsis americanus; Isarachnanthus bandanensis; Isarachnanthus maderensis; Isarachnanthus nocturnus; Pachycerianthus borealis; Pachycerianthus fimbriatus; Pachycerianthus magnus
245,"Drifting in the oceans: Isarachnanthus nocturnus (Cnidaria, Ceriantharia, Arachnactidae), an anthozoan with an extended planktonic stage",2015,English,Stampar S.N.; Morandini A.C.; Branco L.C.; da Silveira F.L.; Migotto A.E.,20,YES,Our study focused on the development of larvae with peculiar external morphology that could be linked to a described species established from adult specimens,6,Taxonomy,Life Cycle; Morphology,3,2,0,1;4,USA,South Atlantic,NA,NO,Brazil,Arachnactidae,Isarachnanthus,Isarachnanthus nocturnus
271,Phylogenomic analyses support traditional relationships within Cnidaria,2015,English,Zapata F.; Goetz F.E.; Smith S.A.; Howison M.; Siebert S.; Church S.H.; Sanders S.M.; Ames C.L.; McFadden C.S.; France S.C.; Daly M.; Collins A.G.; Haddock S.H.D.; Dunn C.W.; Cartwright P.,171,YES,"Here, we present a broadly sampled phylogenomic analysis of Cnidaria designed to test the general framework for cnidarian phylogeny that has emerged in the past decades, and compare alternative hypotheses for remaining questions",7,Molecular Biology; Phylogeny,Evolution; Phylogenomic,4,2,0,0,Brazil;Argentina,NA,NA,YES,NA,NA,NA,NA
233,"Ultrastructure and tube formation in Ceriantharia (Cnidaria, Anthozoa)",2015,English,Stampar S.N.; Beneti J.S.; Acuña F.H.; Morandini A.C.,26,YES,"Cnidomes are an important feature that diagnoses groups of Cnidaria. Our paper describes how these structures are used in the formation of the tubes of tube Anemones, Ceriantharia.",5,Cell Biology,Cnida,6,1,0,3,Brazil;Uruguay;Argentina,North Atlantic;South Atlantic,North Sea,NO,Brazil;Norway,Arachnactidae; Botrucnidiferidae; Cerianthidae,Botrucnidifer; Ceriantheomorphe; Isarachnanthus; Pachycerianthus,Botrucnidifer novergicus; Ceriantheomorphe brasiliensis; Isarachnanthus nocturnus; Pachycerianthus schlenzae
265,"A new species of tube-dwelling anemone (Cnidaria, Anthozoa, Ceriantharia, Ceriantheopsis) from the Warm Temperate South-western Atlantic",2016,English,Stampar S.N.; Scarabino F.; Pastorino G.; Morandini A.C.,7,YES,"The aim of this work is to describe a species of the genus Ceriantheopsis based on both morphology and anatomy of specimens collected in Argentina and Brazil, emphasizing that this is the first species of this genus for this biogeographic region (Warm Temperate South-western Atlantic).",6,Taxonomy,Biogeography; Morphology,1;3;4,2,2,2,Brazil;Japan,South Atlantic,NA,NO,Argentina;Brazil,Cerianthidae,Ceriantheopsis,Ceriantheopsis lineata
252,"Ceriantharia in current systematics: Life cycles, morphology and genetics",2016,English,Stampar S.N.; Maronna M.M.; Kitahara M.V.; Reimer J.D.; Beneti J.S.; Morandini A.C.,18,YES,"Thus, this review focuses on discussing the morphological and genetic patterns and inferences of Ceriantharia in relation to other groups of Anthozoa",4,Biodiversity,Overview,0,3,0,3,Spain;Norway,NA,NA,YES,NA,NA,NA,NA
256,High-throughput metabarcoding of eukaryotic diversity for environmental monitoring of offshore oil-drilling activities,2016,English,Lanzén A.; Lekang K.; Jonassen I.; Thompson E.M.; Troedsson C.,69,YES,"We assessed the use of metabarcoding, using the 18S rRNA gene, for bio-monitoring of samples adjacent to offshore oil-drilling platforms on the Norwegian continental shelf. In particular, we focused on the relationships between sequencing data and environmental parameters, in comparison with classical morphology-based characterization",7,Molecular Biology,Conservation,0,2,1;2,0,Mexico;Argentina;Venezuela;France,North Atlantic;South Atlantic,NA,NO,Norway,NA,NA,NA
234,"Sea anemones (Cnidaria: Actiniaria, Corallimorpharia, Ceriantharia, Zoanthidea) from marine shallow-water environments in Venezuela: New records and an updated inventory",2016,English,González-Muñoz R.; Simões N.; Guerra-Castro E.J.; Hernández-Ortíz C.; Carrasquel G.; Mendez E.; Lira C.; Rada M.; Hernández I.; Pauls S.M.; Croquer A.; Cruz-Motta J.J.,19,YES,"In this study we examined specimens of sea anemones sensu lato (i.e. orders Actiniaria, Ceriantharia, Corallimorpharia, and Zoanthidea) sampled during November 2012 in several shallow coastal and coral reefs environments along six locations, four of which are marine reserves in Venezuela",4,Biodiversity,Biological Inventory,1;4,2,2,1;4,Brazil;Argentina;Mexico,South Atlantic,NA,NO,Venezuela,Arachnactidae; Cerianthidae,Ceriantheomorphe; Ceriantheopsis; Isarachnanthus; Pachycerianthus,Ceriantheomorphe brasiliensis; Ceriantheopsis americana; Isarachnanthus nocturnus; Pachycerianthus curacaoensis
